text	label
rt as a woman you shouldn t complain about cleaning up your house amp as a man you should always take the trash out	2
rt boy dats cold tyga dwn bad for cuffin dat hoe in the st place	1
rt dawgyou ever fuck a bitch and she start to cry you be confused as shit	1
rt she look like a tranny	1
rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya	1
the shit just blows me claim you so faithful and down for somebody but still fucking with hoes	1
i can not just sit up and hate on another bitch i got too much shit going on	1
cause i m tired of you big bitches coming for us skinny girls	1
amp you might not get ya bitch back amp thats that	1
hobbies include fighting mariam bitch	1
keeks is a bitch she curves everyone lol i walked into a conversation like this smh	1
murda gang bitch its gang land	1
so hoes that smoke are losers yea go on ig	1
bad bitches is the only thing that i like	1
bitch get up off me	1
bitch nigga miss me with it	1
bitch plz whatever	1
bitch who do you love	1
bitches get cut off everyday b	1
black bottle amp a bad bitch	1
broke bitch cant tell me nothing	1
cancel that bitch like nino	1
cant you see these hoes wont change	1
fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up	1
got ya bitch tip toeing on my hardwood floors	1
her pussy lips like heaven doors	1
hoe what its hitting for	1
i met that pussy on ocean dr i gave that pussy a pill	1
i need a trippy bitch who fuck on hennessy	1
i spend my money how i want bitch its my business	1
i txt my old bitch my new bitch pussy wetter	1
i d say im back to the old me but my old bitches would get excited	1
if you aint bout that murder game pussy nigga shut up	1
if you re toes ain t done you pussy stinks	1
im done with bitter bitches its a wrap for that if you a angry bird theres a app for that	1
is that ya bitch	1
it aint nothing to cut a bitch off	1
jus meet son now he ya mane ass bitches shots	1
lames crying over hoes thats tears of a clown	1
like snoop said in we dont love these hoes	1
momma said no pussy cats inside my doghouse	2
most hated but the hoes favorite mw sevenone	1
nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick	1
pimps up pimps up hoes down future voice	1
post a picture of that pussy get likes	1
pussy is a powerful drug happyhumpday	1
quick piece of pussy call it a drive by	1
running round here like some brand new pussy thats bout to get fucked	1
these bitches even worst they ll send them guys for you	1
these hoes like niggas that spend money not talk bout it	1
we dont trust these niggas all these bitches	1
yall niggas b cuffing hoes cause yall aint never have bitches	1
you dodge a bullet all da bitches i cut off pregnant or bound to be thank god	1
young pill chamberlain these bitches love my music	1
teanna trump probably cleaner than most of these twitter hoes but	1
gay niggas couldn t wait to act like bitches tonight	1
and ima steal his cat n replace it with a pitbullhe a bitch you should do it	1
amp he s gone always be a hoe	1
son of a bitch took my tic tacs i like this movie	1
all i wanna do is get money and fuck model bitches russell simmons	1
i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet	1
i m a fucking fag they said	1
females think dating a pussy is cute now how does doing this stuff make him a pussy	1
simplyaddictedtoguys woof woof hot scally lad	2
have ya ever asked your bitch for other bitches kanye voice yes	1
how u gone bring ur side bitch to a game where you know ya gf friends at i swear	1
woof woof and hot soles	2
lemmie eat a oreo amp do these dishes one oreo lol	2
bitch fuck u maybe you ll get better just	1
fuck red malone man bitch ass niggah could you please use complete sentences	1
why the eggplant emoji doe y he say she looked like scream lmao	2
hennessey venom gt that s one sexy bitch	1
him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao	1
eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit	1
yo fuck skateboarding all y all some wood pushing faggots man ball is life	1
baby monkey bathtime awwwwe this is soooo adorable	2
i ain t shit damn skippy lol	1
u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt chance	1
rings mvps bitches lol	1
ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn	1
the facts on tattoos tattoo he s a pussy with not tattooing them nipples	1
rt bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches	1
get worshiping bitch woof woof	1
wowi m lost are those buttcheek piercings yeah she s a hoe	1
ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her	1
queer gaywad	0
faggot read my tweets after dat k it wasn t even funny lol	1
this bitch was so ungrateful fr lulwhore	1
i been kidnapped yo bitch	1
alsarabsss hes a beaner smh you can tell hes a mexican	0
happy birthday nigs thanks yo	1
when ur teacher tells u that u have homework this bitch need to go	1
that nigga was eating that hoe lol hell yea lol john paul nigga said john paul	1
what would y all lil ugly bald headed bitches do if they stop making make up amp weave	1
leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig	1
going back to school sucks more dick than the hoes who attend it	1
on my way to fuck yo bitch me as a year old	1
how come you never bring me food i dont have a car retard	1
if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like prople	1
how bout them cowboys shutup pussy	1
lmaooooooooooo this nigga lt bitch want likes for some depressing shit foh	1
girl you know i was spitting that g shit to you amp you was going lbvs bitch plz	1
let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again	1
harlem shake is just an excuse to go full retard for seconds	1
amen miley but she don t need to act like a hoe just bc she s emotionally damaged foh	1
having one loyal female is wayyyyy better than having hoes idc	1
pussy licking pussy meow meow stopwhitepeople	1
check out our th man cowboysnation even with all those faggot ny fans in the stands	1
what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch	1
im the bitch okay nudes pat wow	1
you re fucking gay blacklisted hoe holding out for tehgodclan anyway	0
the fuck be wrong with these bitches nobody knows	1
yall shut up p make me bitch	1
i hate a i m pregnant type of bitch	1
got bitches in the dm but i don t ever read em which is y your top	1
baseball season for the win yankees this is where the love started	2
little stupid as bitch i don t fuck with yoooooouuuu	1
she really asked me that dead ass serious tho all i could say was bitch wheet lol	1
i m an early bird and i m a night owl so i m wise and have worms	2
overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day	2
pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures	2
aw fag don t tweet aw to me lol	1
as long as the lakers trash from now on i could careless and that s real cc hahaha	2
i didn t say anything tho kiss me then faggot	1
this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup	2
i could go for a fat ass bitch on my lap same	1
missed calls das yo p o bitch twitter finna be screamn freemoneymelle	1
ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao	1
amo los pies fuck yeah	1
these hoes be thinking meat won t slap they ass ainna bruh	1
yall bitches wit no edges be doing the most talking	1
yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit	1
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck	1
if she kiss u with her eyes open watch that bitch lmfao	1
you a woulda coulda shoulda ass hoe	1
happy bday bitch ass nigga preciate that bitch roll up	1
used to send that bitch up	1
ugly bitches be like i m my own wcw duh bitch you ain t nobody elses	1
nigga you know we hacky sack hoes nah i throw no look passes lmao	1
glad i m getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em	1
this isn t ghetto it s smart i m doing this idc	2
i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place	1
being single isn t an excuse to be a hoe	1
white boy power bitch black power bitch	1
lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill	1
bitch where u been around the world and back where you been	1
if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off by	1
oomf is soooo cute but he probably has hoes on him a lot	1
in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe	1
who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs	2
i wish i was a bitch like my brother keezy ooooow i bet you do	1
if you dressed up as a cat for halloween you are basic or a pussy	1
can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie lt	1
stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh	1
ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig	1
oh man its am you off a molly ho where the fuck ya seed at fixed	1
you re not a man if you refer to every girl as a bitch	1
lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga	1
peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash	2
io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha	1
naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne	1
ol dirty foot ass bitches this was too funny to me	1
that s where i get my yellow flags for being amazing hell yeah niggy	1
don t got time for bitches to be actin iffy	1
ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut	2
these hoes ain t loyal no they ain t smfh amp wonder why nobody decent wants them	1
bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe	1
dry pussy bitches always blame it on the condom	1
shut yo bitch ass up	1
gucci mane in jail and dropping mixtapes every month and you hoes can t even text back	1
you love these hoes more then money wats wrong these niggas	1
a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol	1
easy cum easy hoe that s a fact	1
charlie sheen is too real major fucking respect for charlie sheen	1
wish i had a bae you got all the hoes tho	1
fuck twerking bitch can you cook	1
bitch wtf	1
shut up zoe fight me pussy for zoe i m good man you are good ma am move along now	1
lmao fucking snake bitches em	1
big booty hoes everywhere sheesh damn	1
stay tuned to for an update on the report that b will be out weeks bum	2
i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao	2
oregon chokes every year get off the field trash ass program rft	1
def not cowboy lolterrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo	1
lmfaoooo i hate black people this is why there s black people and niggers	0
how could u do this to me bitch potent	1
a pissed lad past out i would lick his dirty soles while he slept	2
love frat boy w soft long soles	2
sexy lad with hot soles and arches	2
nah fam i gotta cheat with the hoes depends on the female i feel	1
i got hicks lol	2
this new twitter is confusing the shit out of me go back to south america bitch	1
